tweets,user,corordinate,place,id,len,date,likes,retweets
RT @AP_Politics: Former Vice President @JoeBiden is continuing to push for modifications to Obama-era health care reforms instead of the “M…,The Associated Press,,,1197347103196041222,140,2019-11-21 02:52:49,0,10
RT @APFactCheck: #APFactCheck: President Trump falsely claims that he opened an Apple plant Wednesday in Texas. The plant has been in busin…,The Associated Press,,,1197339193795629056,140,2019-11-21 02:21:23,0,223
RT @AP_Politics: New uncertainty hangs over the Democratic presidential primary as 10 candidates meet on the debate stage once again. Here…,The Associated Press,,,1197332756646318082,139,2019-11-21 01:55:49,0,13
Defense Department official Laura Cooper says that the Ukrainian embassy asked questions of her staff about U.S. mi… https://t.co/MYKfbEJttK,The Associated Press,,,1197327540299415552,140,2019-11-21 01:35:05,190,80
RT @APWestRegion: The survival of two species of insects is in danger because climate change is melting away the glaciers and year-round sn…,The Associated Press,,,1197326503312318464,140,2019-11-21 01:30:58,0,22
A Connecticut school system set out to narrow a diversity gap between a largely minority student body and a mostly… https://t.co/HvDWHMrWxg,The Associated Press,,,1197326022548631553,139,2019-11-21 01:29:03,32,11
OxyContin’s a dying business in the United States. But documents and interviews show Purdue Pharma’s China affiliat… https://t.co/xlNcBp0X7l,The Associated Press,,,1197325391612010496,140,2019-11-21 01:26:33,99,76
"RT @APWestRegion: Publisher wants to gift biweekly newspaper to someone who will live in, and report on, Skagway, Alaska. An owner embedded…",The Associated Press,,,1197322078913015809,140,2019-11-21 01:13:23,0,103
"RT @APWestRegion: “We’re still resisting, and we’re not quitting.” Native Americans gather at Alcatraz Island, off San Francisco, to mark a…",The Associated Press,,,1197322039805255680,140,2019-11-21 01:13:14,0,23
"RT @AP_Politics: Among the takeaways from Wednesday's #ImpeachmentHearings:

Gordon Sondland repeatedly talked of a “quid pro quo” involvin…",The Associated Press,,,1197321549809954816,140,2019-11-21 01:11:17,0,35
Buzz about Secretary of State Mike Pompeo possibly stepping down to run for an open Senate seat in Kansas is growin… https://t.co/zi7Stdvw7m,The Associated Press,,,1197320089722392577,140,2019-11-21 01:05:29,216,121
"RT @APFactCheck: Britain's Conservative Party changed the name of its press office Twitter account to ""factcheckUK"" during a debate. The de…",The Associated Press,,,1197317227395080193,140,2019-11-21 00:54:06,0,67
RT @APEntertainment: SPOTTED: #GOT stars say it’s difficult to be incognito after taking part in the global phenomenon. https://t.co/hgohs6…,The Associated Press,,,1197312191814414336,140,2019-11-21 00:34:06,0,4
RT @APWestRegion: Botanists in the U.S. Northwest are racing against time to find apple varieties planted by homesteaders and then abandone…,The Associated Press,,,1197305172944445440,140,2019-11-21 00:06:12,0,38
"RT @AP_Top25: College Football Writer @ralphDrussoAP picks this week’s games including a Top 10 matchup in the Big Ten, No. 9 Penn State at…",The Associated Press,,,1197302839086858240,140,2019-11-20 23:56:56,0,2
Defense Department official Laura Cooper says she became aware in July that a hold was being placed on military aid… https://t.co/mmUHizKsrj,The Associated Press,,,1197295381727600642,140,2019-11-20 23:27:18,299,128
RT @AP_Sports: One for the books: LeBron @KingJames has become the first player in NBA history to record a triple-double against every team…,The Associated Press,,,1197292471681728512,140,2019-11-20 23:15:44,0,25
RT @AP_NFL: Pro Football Writer @wilner88 picks Thursday night’s key AFC South matchup in Houston and sees the No. 1 team in the AP Pro32 g…,The Associated Press,,,1197292403046191105,140,2019-11-20 23:15:28,0,4
"RT @AP_Sports: 7-time NASCAR champion @JimmieJohnson will retire after 2020 and one more #Chasing8
 
Full story from @jennafryer &gt;&gt; https:/…",The Associated Press,,,1197285570524975106,146,2019-11-20 22:48:19,0,14
RT @APEastRegion: A 10-year-old New Jersey boy who was shot last week at a high school football game and died Wednesday was honored at midf…,The Associated Press,,,1197285375879856135,140,2019-11-20 22:47:32,0,23
tweets,user,corordinate,place,id,len,date,likes,retweets
"RT @APWestRegion: “It’s going nowhere."" A marijuana decriminalization measure passed a divided US House committee, but Republicans say it l…",The Associated Press,,,1197351878847320066,140,2019-11-21 03:11:48,0,7
RT @AP_Politics: Former Vice President @JoeBiden is continuing to push for modifications to Obama-era health care reforms instead of the “M…,The Associated Press,,,1197347103196041222,140,2019-11-21 02:52:49,0,11
RT @APFactCheck: #APFactCheck: President Trump falsely claims that he opened an Apple plant Wednesday in Texas. The plant has been in busin…,The Associated Press,,,1197339193795629056,140,2019-11-21 02:21:23,0,241
RT @AP_Politics: New uncertainty hangs over the Democratic presidential primary as 10 candidates meet on the debate stage once again. Here…,The Associated Press,,,1197332756646318082,139,2019-11-21 01:55:49,0,13
Defense Department official Laura Cooper says that the Ukrainian embassy asked questions of her staff about U.S. mi… https://t.co/MYKfbEJttK,The Associated Press,,,1197327540299415552,140,2019-11-21 01:35:05,195,80
RT @APWestRegion: The survival of two species of insects is in danger because climate change is melting away the glaciers and year-round sn…,The Associated Press,,,1197326503312318464,140,2019-11-21 01:30:58,0,22
A Connecticut school system set out to narrow a diversity gap between a largely minority student body and a mostly… https://t.co/HvDWHMrWxg,The Associated Press,,,1197326022548631553,139,2019-11-21 01:29:03,32,11
OxyContin’s a dying business in the United States. But documents and interviews show Purdue Pharma’s China affiliat… https://t.co/xlNcBp0X7l,The Associated Press,,,1197325391612010496,140,2019-11-21 01:26:33,99,77
"RT @APWestRegion: Publisher wants to gift biweekly newspaper to someone who will live in, and report on, Skagway, Alaska. An owner embedded…",The Associated Press,,,1197322078913015809,140,2019-11-21 01:13:23,0,103
"RT @APWestRegion: “We’re still resisting, and we’re not quitting.” Native Americans gather at Alcatraz Island, off San Francisco, to mark a…",The Associated Press,,,1197322039805255680,140,2019-11-21 01:13:14,0,23
"RT @AP_Politics: Among the takeaways from Wednesday's #ImpeachmentHearings:

Gordon Sondland repeatedly talked of a “quid pro quo” involvin…",The Associated Press,,,1197321549809954816,140,2019-11-21 01:11:17,0,35
Buzz about Secretary of State Mike Pompeo possibly stepping down to run for an open Senate seat in Kansas is growin… https://t.co/zi7Stdvw7m,The Associated Press,,,1197320089722392577,140,2019-11-21 01:05:29,219,122
"RT @APFactCheck: Britain's Conservative Party changed the name of its press office Twitter account to ""factcheckUK"" during a debate. The de…",The Associated Press,,,1197317227395080193,140,2019-11-21 00:54:06,0,67
RT @APEntertainment: SPOTTED: #GOT stars say it’s difficult to be incognito after taking part in the global phenomenon. https://t.co/hgohs6…,The Associated Press,,,1197312191814414336,140,2019-11-21 00:34:06,0,4
RT @APWestRegion: Botanists in the U.S. Northwest are racing against time to find apple varieties planted by homesteaders and then abandone…,The Associated Press,,,1197305172944445440,140,2019-11-21 00:06:12,0,39
"RT @AP_Top25: College Football Writer @ralphDrussoAP picks this week’s games including a Top 10 matchup in the Big Ten, No. 9 Penn State at…",The Associated Press,,,1197302839086858240,140,2019-11-20 23:56:56,0,2
Defense Department official Laura Cooper says she became aware in July that a hold was being placed on military aid… https://t.co/mmUHizKsrj,The Associated Press,,,1197295381727600642,140,2019-11-20 23:27:18,302,128
RT @AP_Sports: One for the books: LeBron @KingJames has become the first player in NBA history to record a triple-double against every team…,The Associated Press,,,1197292471681728512,140,2019-11-20 23:15:44,0,25
RT @AP_NFL: Pro Football Writer @wilner88 picks Thursday night’s key AFC South matchup in Houston and sees the No. 1 team in the AP Pro32 g…,The Associated Press,,,1197292403046191105,140,2019-11-20 23:15:28,0,4
"RT @AP_Sports: 7-time NASCAR champion @JimmieJohnson will retire after 2020 and one more #Chasing8
 
Full story from @jennafryer &gt;&gt; https:/…",The Associated Press,,,1197285570524975106,146,2019-11-20 22:48:19,0,14
