tweets,user,corordinate,place,id,len,date,likes,retweets
"Unfettered by tales of science fiction, the cosmos is almost incomprehensibly large.
  https://t.co/JaJ4BmutQo",Discover Magazine,,,1197334212434677761,110,2019-11-21 02:01:36,24,4
"Venus is the nearest, brightest, and shiniest planet in our skies, as well as a dangerous place to be....  https://t.co/19U6ajGD7l",Discover Magazine,,,1197286903852208129,130,2019-11-20 22:53:37,26,9
Common misconceptions about what can be recycled leave some of our goods destined for the trash heap. https://t.co/xAjz8rk3bw,Discover Magazine,,,1197280242223718401,125,2019-11-20 22:27:08,5,2
"When traditional painkillers fail, is medical marijuana the answer? https://t.co/yiS6jYSFV3",Discover Magazine,,,1197198134058848260,91,2019-11-20 17:00:52,5,1
Extraordinary claims require extraordinary evidence. https://t.co/VFu9cZiVW0,Discover Magazine,,,1197183019901235200,76,2019-11-20 16:00:49,7,1
Why men might want to be clean shaven in a sea of beards: https://t.co/2kcslFlPcX,Discover Magazine,,,1197175337572093953,81,2019-11-20 15:30:17,13,5
Scientists have put a face on these ancient human relatives: https://t.co/94DQli9VPg,Discover Magazine,,,1197167927772033025,84,2019-11-20 15:00:50,5,4
The real impact of climate change depends on tiny organisms we can’t even see: https://t.co/IXISrK47KW,Discover Magazine,,,1197160235259121671,102,2019-11-20 14:30:16,7,4
Misophonia is when certain sounds trigger you: https://t.co/FX2zmok1Pv,Discover Magazine,,,1197152832576741378,70,2019-11-20 14:00:51,8,3
Researchers are a little closer to knowing how the bilingual brain works. https://t.co/Sw6hW8BZhe,Discover Magazine,,,1197145129062207491,97,2019-11-20 13:30:15,25,11
"Your ancestors' lousy childhoods or excellent adventures might change your personality, bequeathing anxiety or resi… https://t.co/ZSTokheCOb",Discover Magazine,,,1197137746177011713,140,2019-11-20 13:00:55,8,8
"Depression has a language, and here's how to detect it: https://t.co/xm4F51C8Wz",Discover Magazine,,,1197130069023612929,79,2019-11-20 12:30:24,35,25
Researchers are proposing an utterly extreme approach to save the icy continent: Convert massive quantities of ocea… https://t.co/rIxHjSIdNv,Discover Magazine,,,1197122613186830337,140,2019-11-20 12:00:47,14,7
How a phosphorus shortage could leave the world hungry: https://t.co/yYCS5voSoG,Discover Magazine,,,1197114988235808768,79,2019-11-20 11:30:29,9,10
Say hello to the 500 species of bugs and insects you share your house with: https://t.co/qE2msYR4Jy,Discover Magazine,,,1197107485561229316,99,2019-11-20 11:00:40,9,4
Humans get heart attacks at far higher rates than other species. Lifestyle can't account for all of the difference… https://t.co/fjNWTEe93Q,Discover Magazine,,,1197099817345986560,139,2019-11-20 10:30:12,26,15
"Einstein's general relativity may be complicated, but it's our best way of understanding the universe. https://t.co/MV4IyPNFIW",Discover Magazine,,,1197092365502160896,126,2019-11-20 10:00:35,13,7
There’s something odd about the bones of ancient humans. They’re riddled with deformities. https://t.co/6eRavJHzhl,Discover Magazine,,,1197084743126388739,114,2019-11-20 09:30:18,19,11
"70,000 years ago, a star wandered near our solar system. Our cosmic backyard still bears marks from its passage. https://t.co/g1qBUwL0a0",Discover Magazine,,,1197077233556508672,136,2019-11-20 09:00:27,26,16
"Did the violent, cosmic collision that created the moon make life on Earth possible? One new study suggests so. https://t.co/xMsfisXeKx",Discover Magazine,,,1197069603165396993,135,2019-11-20 08:30:08,33,16
tweets,user,corordinate,place,id,len,date,likes,retweets
"Unfettered by tales of science fiction, the cosmos is almost incomprehensibly large.
  https://t.co/JaJ4BmutQo",Discover Magazine,,,1197334212434677761,110,2019-11-21 02:01:36,24,4
"Venus is the nearest, brightest, and shiniest planet in our skies, as well as a dangerous place to be....  https://t.co/19U6ajGD7l",Discover Magazine,,,1197286903852208129,130,2019-11-20 22:53:37,26,9
Common misconceptions about what can be recycled leave some of our goods destined for the trash heap. https://t.co/xAjz8rk3bw,Discover Magazine,,,1197280242223718401,125,2019-11-20 22:27:08,5,2
"When traditional painkillers fail, is medical marijuana the answer? https://t.co/yiS6jYSFV3",Discover Magazine,,,1197198134058848260,91,2019-11-20 17:00:52,5,1
Extraordinary claims require extraordinary evidence. https://t.co/VFu9cZiVW0,Discover Magazine,,,1197183019901235200,76,2019-11-20 16:00:49,7,1
Why men might want to be clean shaven in a sea of beards: https://t.co/2kcslFlPcX,Discover Magazine,,,1197175337572093953,81,2019-11-20 15:30:17,13,5
Scientists have put a face on these ancient human relatives: https://t.co/94DQli9VPg,Discover Magazine,,,1197167927772033025,84,2019-11-20 15:00:50,5,4
The real impact of climate change depends on tiny organisms we can’t even see: https://t.co/IXISrK47KW,Discover Magazine,,,1197160235259121671,102,2019-11-20 14:30:16,7,4
Misophonia is when certain sounds trigger you: https://t.co/FX2zmok1Pv,Discover Magazine,,,1197152832576741378,70,2019-11-20 14:00:51,8,3
Researchers are a little closer to knowing how the bilingual brain works. https://t.co/Sw6hW8BZhe,Discover Magazine,,,1197145129062207491,97,2019-11-20 13:30:15,25,11
