tweets,user,corordinate,place,id,len,date,likes,retweets
"RT @ISS_Research: 🌏A better picture of our planet
🔥The spread of fire
🦴Keeping bones strong
⚛️Atoms in cold temperatures

These are just a…",NASA,,,1197339658256027648,139,2019-11-21 02:23:14,0,99
"Boom. 💥

2 gamma-ray bursts set the record for highest energy of light we have ever seen from similar events. The m… https://t.co/bOgpMZXdJt",NASA,,,1197318717446787073,140,2019-11-21 01:00:02,1640,345
"50 years ago, #Apollo12 astronauts Pete Conrad and Alan Bean reached the robotic Surveyor 3 on their 2nd moonwalk.… https://t.co/bEZGpDoYGf",NASA,,,1197288519967920130,139,2019-11-20 23:00:02,1878,338
"Sweet, sweet science! Sugars essential to life have been discovered in meteorites for the 1st time, adding to the l… https://t.co/cv13UKzN7s",NASA,,,1197269260701224963,140,2019-11-20 21:43:30,3102,690
"RT @NASAhistory: The @Space_Station has been built piece by piece for over 20 years. 

#Today marks the 21st anniversary of the launch of Z…",NASA,,,1197266586618515458,140,2019-11-20 21:32:53,0,273
"RT @NASAKennedy: Want to hear from the people who will launch, fly and recover the spacecraft that will pave the way for astronauts going t…",NASA,,,1197257859941187584,140,2019-11-20 20:58:12,0,131
"LIVE NOW: 

How do we study black holes if we can’t even see them? 🤔

Join experts on #NASAScience Live as we answe… https://t.co/UTngmOd29i",NASA,,,1197243628885807105,140,2019-11-20 20:01:39,1552,449
"In order to test technology to detect ripples in space-time, this @ESA mission has recording-setting sensitivity. A… https://t.co/a5cKfAYQQN",NASA,,,1197231747966128129,140,2019-11-20 19:14:26,1135,170
LIVE NOW: Hear from experts as they talk about the cutting-edge science launching to the @Space_Station on Dec. 4 a… https://t.co/HaAUMuWrZg,NASA,,,1197213021283721216,140,2019-11-20 18:00:02,1527,235
"By measuring soil moisture from above, @NASAEarth satellites are helping the @USArmy and @usairforce prepare routes… https://t.co/JMLf0u0D0f",NASA,,,1197197926361190400,140,2019-11-20 17:00:03,902,131
"RT @Astro_Jessica: Morning views on @Space_Station. Although we're only ~250 miles closer to the Moon than you are, we can see it more clea…",NASA,,,1197178138775687169,140,2019-11-20 15:41:25,0,1097
"RT @NASA_Technology: As a child in Puerto Rico, Dionne Hernandez-Lugo watched shuttle launches on TV and a microscope sparked her passion f…",NASA,,,1196954943447547904,140,2019-11-20 00:54:31,0,209
