tweets,user,corordinate,place,id,len,date,likes,retweets
Born under lucky star: Bouncer almost loses his head fighting with drunk gunman https://t.co/caLUhYdUhF,RT,,,1197348908923420672,103,2019-11-21 03:00:00,2,3
"Four fundamental forces known to mankind: Gravitational, Weak Nuclear, Electromagnetic &amp; Strong Nuclear – may not b… https://t.co/poHN7i4MRK",RT,,,1197343875892822016,144,2019-11-21 02:40:00,30,19
#Navy commando accused of war crimes in #Iraq faces expulsion from SEALs after #Trump restored rank… https://t.co/Nb7RmhmL1D,RT,,,1197342997907677185,124,2019-11-21 02:36:30,18,9
"#Russia makes strides in tech world, from facial recognition software to autonomous vehicles https://t.co/YLE7dEwevi",RT,,,1197338842929364992,116,2019-11-21 02:20:00,55,20
"‘#America’s debt will go from $23 trillion to $50-60 trillion; I’ve no doubt about that,' says financial pundit and… https://t.co/uEH9ZrqcXX",RT,,,1197333810796478465,140,2019-11-21 02:00:00,25,17
‘Surveillance giants’ #Facebook &amp; #Google ‘threaten human rights’ with data-grabbing – Amnesty… https://t.co/5JMA456AaO,RT,,,1197330254878117888,123,2019-11-21 01:45:52,35,30
#Pakistani journalist quits her job after colleagues ‘rubbish’ her #Christian faith &amp; pressure her to convert to… https://t.co/kNroj8ouAD,RT,,,1197330034555543553,141,2019-11-21 01:45:00,25,20
Would you care for 100YO glass of #cognac? Salvaged WWI shipwreck liquor bound for #Russia https://t.co/1U8SeEzrd9,RT,,,1197326260881354752,114,2019-11-21 01:30:00,67,25
"Alliance life after ‘brain death’: #NATO focuses on outer space, compares army spending with #Russia… https://t.co/nLIK82kK1n",RT,,,1197322485034881025,125,2019-11-21 01:15:00,17,9
"‘#Meth. We’re on it’: Oddly-worded #SouthDakota drug awareness campaign ‘breaks bad’ on social media

DETAILS:… https://t.co/M6IgwcN1lC",RT,,,1197318710077411328,135,2019-11-21 01:00:00,22,12
#Syrian air defenses intercepted ‘most of the hostile missiles’ fired by #Israel’s air force over southern… https://t.co/KOlsQ0G9Xp,RT,,,1197314935157657602,131,2019-11-21 00:45:00,116,106
"All whistleblowers are equal, as long as they hate #Trump 

Op-Ed by Graham Dockery

https://t.co/cuUoAonoQq https://t.co/VldWuNdVsF",RT,,,1197312928560627712,132,2019-11-21 00:37:01,42,13
Daredevil flyers use jet-propelled wings to amaze visitors in #China at speeds of up to 400k/h https://t.co/nERTHtbqlR,RT,,,1197311161089196032,118,2019-11-21 00:30:00,121,52
"There’s a new whisperer in town, and it’s not #Iran, or even #US shale. The supreme market mover is #China

https://t.co/A3D5Y9bZOe",RT,,,1197307385401901057,131,2019-11-21 00:15:00,17,10
"'Military mutiny key factor in #Bolivia’s coup &amp; main reason #Venezuela’s #Guaido can’t oust #Maduro', political an… https://t.co/wgK9jkZoNJ",RT,,,1197304411757957120,144,2019-11-21 00:03:11,24,12
Wildfires burning in #Australia’s #RichmondValley https://t.co/yMdoRuXSwb,RT,,,1197303610964684805,73,2019-11-21 00:00:00,64,57
"#Jesus would not get a #UK visa under proposed immigration system, says Archbishop of #Canterbury

MORE:… https://t.co/cJiEkTQBSx",RT,,,1197299835625299968,129,2019-11-20 23:45:00,55,31
"Soldiers conduct real-fire drill testing weapon skills at an altitude of over 4,700 meters in #China https://t.co/gAS6DAbXQv",RT,,,1197296061104177152,124,2019-11-20 23:30:00,52,32
"Is #GretaThunberg a time traveller?

https://t.co/URksUmbSyy",RT,,,1197292285957824513,60,2019-11-20 23:15:00,172,63
"Seems like every time a deer traps itself in a fence, there is an officer to rescue him 🤔 https://t.co/vRdxEFDBIz",RT,,,1197288510924840960,113,2019-11-20 23:00:00,71,16
tweets,user,corordinate,place,id,len,date,likes,retweets
Born under lucky star: Bouncer almost loses his head fighting with drunk gunman https://t.co/caLUhYdUhF,RT,,,1197348908923420672,103,2019-11-21 03:00:00,26,16
"Four fundamental forces known to mankind: Gravitational, Weak Nuclear, Electromagnetic &amp; Strong Nuclear – may not b… https://t.co/poHN7i4MRK",RT,,,1197343875892822016,144,2019-11-21 02:40:00,30,20
#Navy commando accused of war crimes in #Iraq faces expulsion from SEALs after #Trump restored rank… https://t.co/Nb7RmhmL1D,RT,,,1197342997907677185,124,2019-11-21 02:36:30,20,9
"#Russia makes strides in tech world, from facial recognition software to autonomous vehicles https://t.co/YLE7dEwevi",RT,,,1197338842929364992,116,2019-11-21 02:20:00,56,22
"‘#America’s debt will go from $23 trillion to $50-60 trillion; I’ve no doubt about that,' says financial pundit and… https://t.co/uEH9ZrqcXX",RT,,,1197333810796478465,140,2019-11-21 02:00:00,25,17
‘Surveillance giants’ #Facebook &amp; #Google ‘threaten human rights’ with data-grabbing – Amnesty… https://t.co/5JMA456AaO,RT,,,1197330254878117888,123,2019-11-21 01:45:52,35,31
#Pakistani journalist quits her job after colleagues ‘rubbish’ her #Christian faith &amp; pressure her to convert to… https://t.co/kNroj8ouAD,RT,,,1197330034555543553,141,2019-11-21 01:45:00,25,20
Would you care for 100YO glass of #cognac? Salvaged WWI shipwreck liquor bound for #Russia https://t.co/1U8SeEzrd9,RT,,,1197326260881354752,114,2019-11-21 01:30:00,68,25
"Alliance life after ‘brain death’: #NATO focuses on outer space, compares army spending with #Russia… https://t.co/nLIK82kK1n",RT,,,1197322485034881025,125,2019-11-21 01:15:00,17,9
"‘#Meth. We’re on it’: Oddly-worded #SouthDakota drug awareness campaign ‘breaks bad’ on social media

DETAILS:… https://t.co/M6IgwcN1lC",RT,,,1197318710077411328,135,2019-11-21 01:00:00,22,12
#Syrian air defenses intercepted ‘most of the hostile missiles’ fired by #Israel’s air force over southern… https://t.co/KOlsQ0G9Xp,RT,,,1197314935157657602,131,2019-11-21 00:45:00,119,110
"All whistleblowers are equal, as long as they hate #Trump 

Op-Ed by Graham Dockery

https://t.co/cuUoAonoQq https://t.co/VldWuNdVsF",RT,,,1197312928560627712,132,2019-11-21 00:37:01,42,13
Daredevil flyers use jet-propelled wings to amaze visitors in #China at speeds of up to 400k/h https://t.co/nERTHtbqlR,RT,,,1197311161089196032,118,2019-11-21 00:30:00,122,52
"There’s a new whisperer in town, and it’s not #Iran, or even #US shale. The supreme market mover is #China

https://t.co/A3D5Y9bZOe",RT,,,1197307385401901057,131,2019-11-21 00:15:00,17,10
"'Military mutiny key factor in #Bolivia’s coup &amp; main reason #Venezuela’s #Guaido can’t oust #Maduro', political an… https://t.co/wgK9jkZoNJ",RT,,,1197304411757957120,144,2019-11-21 00:03:11,24,12
Wildfires burning in #Australia’s #RichmondValley https://t.co/yMdoRuXSwb,RT,,,1197303610964684805,73,2019-11-21 00:00:00,64,59
"#Jesus would not get a #UK visa under proposed immigration system, says Archbishop of #Canterbury

MORE:… https://t.co/cJiEkTQBSx",RT,,,1197299835625299968,129,2019-11-20 23:45:00,55,31
"Soldiers conduct real-fire drill testing weapon skills at an altitude of over 4,700 meters in #China https://t.co/gAS6DAbXQv",RT,,,1197296061104177152,124,2019-11-20 23:30:00,52,32
"Is #GretaThunberg a time traveller?

https://t.co/URksUmbSyy",RT,,,1197292285957824513,60,2019-11-20 23:15:00,173,63
"Seems like every time a deer traps itself in a fence, there is an officer to rescue him 🤔 https://t.co/vRdxEFDBIz",RT,,,1197288510924840960,113,2019-11-20 23:00:00,71,16
