tweets,user,corordinate,place,id,len,date,likes,retweets
"Tasked with leading Australia to the 2023 World Cup, Dave Rennie was appointed coach of the Australian men’s rugby… https://t.co/zL8KLnXQZ1",Reuters,,,1197348910131343360,139,2019-11-21 03:00:00,0,0
Mexicans sue Walmart over Texas shooting that left victims on both sides of border https://t.co/A8jgQfkqAX https://t.co/xATx6qkJwV,Reuters,,,1197347932745424896,130,2019-11-21 02:56:07,22,12
Arizona border activist found not guilty of hiding migrants https://t.co/IqEqzfz1Ny https://t.co/qqcOwHMveW,Reuters,,,1197346643936497664,107,2019-11-21 02:51:00,52,5
Google to let sites block personalized ads under California privacy law https://t.co/1JgctCXMRQ https://t.co/nS1BWJBaTJ,Reuters,,,1197345475298500610,119,2019-11-21 02:46:21,21,9
UAW president resigns after union accuses him of false accounting https://t.co/VAnMR5FtYP https://t.co/tYlSkH7xqk,Reuters,,,1197344128943755264,113,2019-11-21 02:41:00,25,25
"‘The future doesn’t belong to us, it belongs to children’: UNICEF Goodwill Ambassador David Beckham calls on world… https://t.co/DSNroesPET",Reuters,,,1197343875704217600,139,2019-11-21 02:40:00,135,42
‘Spread love back to whoever is giving you so much hate’: The UNICEF’s youngest-ever goodwill ambassador Millie Bob… https://t.co/uUzRDpD78J,Reuters,,,1197342617543032832,140,2019-11-21 02:35:00,51,11
U.S. establishes foothold in Solomons as Chinese interests expand https://t.co/SV5vxj4lhv https://t.co/0hZ3aAH1dj,Reuters,,,1197341683668705281,113,2019-11-21 02:31:17,20,7
"Senegal is building West Africa's largest wind farm. Located in Taiba Ndiaye, around 100 kilometers from the capita… https://t.co/8l8s7uX9mJ",Reuters,,,1197341359536922624,140,2019-11-21 02:30:00,57,30
'Everyone was in the loop' about Ukraine pressure campaign https://t.co/VCujufBW5m https://t.co/X35VeuguEg,Reuters,,,1197340417949392898,106,2019-11-21 02:26:15,64,21
Asian shares slide as Sino-U.S. spat on Hong Kong clouds trade deal outlook https://t.co/deqscRFQqb https://t.co/Ka8HZD2PyJ,Reuters,,,1197339608633270272,123,2019-11-21 02:23:02,10,5
"Over 1,300 inmates have graduated since a program in Kenya to rehabilitate prisoners by teaching them farming skill… https://t.co/D8OCkYCb9x",Reuters,,,1197338842841395200,140,2019-11-21 02:20:00,74,14
"At United Nations, U.S. faces strong opposition to its shift on Israeli settlements https://t.co/bpslh98OEE https://t.co/m8dJAY9ls5",Reuters,,,1197338723488321536,131,2019-11-21 02:19:31,27,11
"Proponents of carbon offsetting say it can channel much-needed climate finance to developing countries, but critics… https://t.co/45MyPS8Mne",Reuters,,,1197337584365690885,140,2019-11-21 02:15:00,14,5
"Yen rises, yuan falls as U.S.-China trade deal this year looks unlikely https://t.co/judfZjVOGN https://t.co/7DqiOhnVQO",Reuters,,,1197336370982871040,119,2019-11-21 02:10:10,29,15
Austria is going to turn the house where Hitler was born into a police station https://t.co/HcPNYdMSX1 https://t.co/mDHb9SGPHt,Reuters,,,1197336325994639360,126,2019-11-21 02:10:00,54,26
"After rise in Iowa polls, Buttigieg in spotlight at U.S. Democratic presidential debate https://t.co/XCvVWDnE3Q https://t.co/KCBb6YAdEL",Reuters,,,1197335546131025921,135,2019-11-21 02:06:54,24,7
"The world’s first Christmas card, which shows a family gathered around a table enjoying a glass of wine with a mess… https://t.co/dyJPZuMywO",Reuters,,,1197333809999466496,140,2019-11-21 02:00:00,28,10
A U.S.-China 'Phase One' trade deal may not be inked this year https://t.co/14ngUdIo0S https://t.co/xmHqTenbJg,Reuters,,,1197332819615375361,110,2019-11-21 01:56:04,47,22
A group of school students in the Philippines has found a way to convert excrement from stray dogs into a mixture f… https://t.co/Vlvs2mcnaK,Reuters,,,1197331292829831168,140,2019-11-21 01:50:00,174,66
tweets,user,corordinate,place,id,len,date,likes,retweets
GM sues FCA alleging that its rival bribed United Auto Workers union officials over many years to corrupt the barga… https://t.co/Havpc524Ec,Reuters,,,1197351425614974976,140,2019-11-21 03:10:00,1,4
