tweets,user,corordinate,place,id,len,date,likes,retweets
"In one of the first big exchanges of the night, Booker mounted a direct attack on one of Warren’s signature plans —… https://t.co/1B5FDk7gg0",TIME,,,1197348533264891904,140,2019-11-21 02:58:30,9,4
"“If you think a woman can’t beat Donald Trump, Nancy Pelosi does it every single day,” Amy Klobuchar says at the… https://t.co/jPjRGjd9Pi",TIME,,,1197347339868016641,137,2019-11-21 02:53:46,184,28
Kamala Harris on Tulsi Gabbard: “It’s unfortunate that we have someone on this stage who is attempting to be the De… https://t.co/8LyPYut8AS,TIME,,,1197344519840239616,140,2019-11-21 02:42:33,290,75
"“Sadly, we have a president who’s not only a psychological liar, he’s likely the most corrupt president in the mode… https://t.co/1vcX47AcJu",TIME,,,1197339393008295939,140,2019-11-21 02:22:11,177,46
The #DemDebate has kicked off with candidates discussing this week’s impeachment hearings. Follow along for more li… https://t.co/A0PbXNDsJ4,TIME,,,1197338770711953408,140,2019-11-21 02:19:43,15,3
Rapper A$AP Rocky came up at least five times during a key impeachment hearing. Here's why https://t.co/DXa7VgCNNZ,TIME,,,1197334464675889153,114,2019-11-21 02:02:36,33,5
The #DemDebate is about to begin. Follow along for live updates here https://t.co/cFlKt9d1hb,TIME,,,1197333254958993409,92,2019-11-21 01:57:48,21,5
"""Trump has, per usual, thrown out a barrage of defenses, hoping something will stick. So far nothing has,"" writes… https://t.co/R24CYXHPpC",TIME,,,1197327002166059008,138,2019-11-21 01:32:57,144,50
"RT @maddiecarlisle2: Tonight, all eyes are on Pete Buttigieg. Follow along with @TIME for live coverage of the #DemDebate: https://t.co/8y8…",TIME,,,1197322692116013057,140,2019-11-21 01:15:49,0,8
America's founders disagreed about impeachment. Here's how the idea made it into the Constitution https://t.co/9mo4fIO5CW,TIME,,,1197319464754274304,121,2019-11-21 01:03:00,62,26
These one-season wonders are an art form all their own. They require more efficient storytelling and character deve… https://t.co/uB5SePd4Sa,TIME,,,1197311786602713088,140,2019-11-21 00:32:29,39,8
10 candidates will take the stage in November's Democratic debate tonight. Here's everything to know https://t.co/ZDhVIW3n8o,TIME,,,1197304366174261248,124,2019-11-21 00:03:00,34,7
Michigan priest sentenced to jail for assaulting suicidal man who wanted counseling https://t.co/kmkswVb0Ho,TIME,,,1197300964245594113,107,2019-11-20 23:49:29,81,25
See the full list of nominations for the 2020 #Grammys here https://t.co/39Obmc2meq,TIME,,,1197296786085429251,83,2019-11-20 23:32:53,33,17
Great whales are the carbon-capture titans of the animal world. Here's how they can help fight climate change https://t.co/Y1gZklWimf,TIME,,,1197289180780478464,133,2019-11-20 23:02:39,326,136
"U.N. Security Council members rebuke U.S. softened stance on Israel’s West Bank settlements
https://t.co/MZ7CWvWSJL",TIME,,,1197283365914853377,115,2019-11-20 22:39:33,59,32
"10-year-old boy dies after shooting at a New Jersey high school football game
https://t.co/DLz7YpzGlv",TIME,,,1197282179400839168,101,2019-11-20 22:34:50,29,12
"""It’s not just the nature of Trump’s abuse of power that argues for his impeachment, it’s the gravity of harm that… https://t.co/uSPL8U7Bwk",TIME,,,1197281716148330503,139,2019-11-20 22:33:00,485,220
U.S. House Intelligence Committee starts afternoon session of today’s open hearings in Democrats’ impeachment inqui… https://t.co/20ZOxT5JVM,TIME,,,1197281512451985408,140,2019-11-20 22:32:11,70,41
An attorney for a Navy SEAL convicted of posing with a dead Islamic State militant contended that Navy leaders are… https://t.co/5Ae3zuvxPC,TIME,,,1197274090190622720,139,2019-11-20 22:02:42,122,33
tweets,user,corordinate,place,id,len,date,likes,retweets
"In one of the first big exchanges of the night, Booker mounted a direct attack on one of Warren’s signature plans —… https://t.co/1B5FDk7gg0",TIME,,,1197348533264891904,140,2019-11-21 02:58:30,12,6
"“If you think a woman can’t beat Donald Trump, Nancy Pelosi does it every single day,” Amy Klobuchar says at the… https://t.co/jPjRGjd9Pi",TIME,,,1197347339868016641,137,2019-11-21 02:53:46,236,37
Kamala Harris on Tulsi Gabbard: “It’s unfortunate that we have someone on this stage who is attempting to be the De… https://t.co/8LyPYut8AS,TIME,,,1197344519840239616,140,2019-11-21 02:42:33,357,93
"“Sadly, we have a president who’s not only a psychological liar, he’s likely the most corrupt president in the mode… https://t.co/1vcX47AcJu",TIME,,,1197339393008295939,140,2019-11-21 02:22:11,186,47
The #DemDebate has kicked off with candidates discussing this week’s impeachment hearings. Follow along for more li… https://t.co/A0PbXNDsJ4,TIME,,,1197338770711953408,140,2019-11-21 02:19:43,15,4
