tweets,user,corordinate,place,id,len,date,likes,retweets
"Sydney's picturesque skyline once again blanketed by thick smoke, as 50 bushfires continue to burn across Australia… https://t.co/pHmUaAFSkC",China Xinhua News,,,1197338742664704001,140,2019-11-21 02:19:36,27,10
"A massive fire broke out in a market at Tikatuli, a residential neighborhood of the old part of Bangladesh capital… https://t.co/6OiPmtDtv8",China Xinhua News,,,1197338665229389824,139,2019-11-21 02:19:17,12,4
Premier Li Keqiang demands unrelenting efforts to advance pilot centralized medicine procurement and use program to… https://t.co/ljAYpFB006,China Xinhua News,,,1197330423954788352,140,2019-11-21 01:46:33,12,3
Training on a whole new level! Check out how China's Armed Police are put through their paces in north China's Tian… https://t.co/4k3YLoflLv,China Xinhua News,,,1197311786078392321,140,2019-11-21 00:32:29,91,27
"UNICEF envoy Wang Yuan, also a Chinese teen idol, appeals for universal quality education for children… https://t.co/5FIBHFbIYY",China Xinhua News,,,1197302984935428096,127,2019-11-20 23:57:31,73,35
"U.S. government starts to issue licenses to some U.S. suppliers, allowing them to resume shipping to China's… https://t.co/4IQcz1ua82",China Xinhua News,,,1197293352414273536,133,2019-11-20 23:19:14,41,8
What's in the stomach of a fossilized lizard after 100 mln years? https://t.co/CQ9hCweN1b https://t.co/INA3q46J9O,China Xinhua News,,,1197288595972861953,113,2019-11-20 23:00:20,41,15
"Medellin, Colombia’s second largest city, is going electric with the first fleet of 64 electric buses from Chinese… https://t.co/VeorhZE8G5",China Xinhua News,,,1197255795597021185,139,2019-11-20 20:50:00,207,78
"Chinese-funded automaker Karma Automotive launches 2 new electric vehicles in #LosAngeles.  
Karma expects to have… https://t.co/tNve0zKJkd",China Xinhua News,,,1197253339991412737,139,2019-11-20 20:40:14,42,9
"Withdrawal of Kurdish fighters in northern Syria from Turkey's border has been essentially completed, Russian FM La… https://t.co/AOzzO3y0X1",China Xinhua News,,,1197252637432930310,140,2019-11-20 20:37:27,17,9
Could free testing end AIDS? Those with the free testing kit tested themselves more than those who did not have the… https://t.co/VXNfWbcUnd,China Xinhua News,,,1197247935232262157,140,2019-11-20 20:18:46,53,17
Russia says concerned about Israel's recent intensified missile and bomb attacks against Syria… https://t.co/UNzzpOlsyg,China Xinhua News,,,1197245941063008256,119,2019-11-20 20:10:50,28,16
"After week-long farewell celebration, beloved U.S.-born #giantpanda Bei Bei begins his journey to China, amid both… https://t.co/wOHRyh0PJj",China Xinhua News,,,1197244724354146304,139,2019-11-20 20:06:00,38,8
"Chinese economy works much more efficiently than many other large economies in the world, Putin says… https://t.co/7PxYEXOLVb",China Xinhua News,,,1197236982096809984,125,2019-11-20 19:35:14,41,18
"Happy 500th birthday, Havana! 
The iconic Malecon was lit up by more than 16,000 fireworks launched from Morro Cast… https://t.co/DrT8Vl1xwD",China Xinhua News,,,1197236921237458947,140,2019-11-20 19:35:00,82,27
"Ongoing Dubai airshow has witnessed completion of massive orders on aircraft, as well as display of most advanced a… https://t.co/qbIXf7xYWW",China Xinhua News,,,1197224431103434753,140,2019-11-20 18:45:22,27,8
Traditional Chinese dragon dance marks opening of Havana's Chinatown plaza in Cuba https://t.co/l9dTG2rrsB https://t.co/PwUGo52JWv,China Xinhua News,,,1197216745540456448,130,2019-11-20 18:14:50,23,8
Chile takes measures to help small &amp; medium-sized businesses in export sector affected by recent political unrest… https://t.co/wVMs5odXbj,China Xinhua News,,,1197215663456215043,142,2019-11-20 18:10:32,13,7
"Chinese, #California businesses discuss trade opportunities.
""Although California can't set its own trade policy, i… https://t.co/0G2krHlGz5",China Xinhua News,,,1197214792769056772,140,2019-11-20 18:07:04,14,9
Commissioner of Chinese Foreign Ministry to Hong Kong Xie Feng summons  U.S. consul-general to lodge stern represen… https://t.co/N7fBgFtEuo,China Xinhua News,,,1197209464878837761,140,2019-11-20 17:45:54,21,8
tweets,user,corordinate,place,id,len,date,likes,retweets
"Sydney's picturesque skyline once again blanketed by thick smoke, as 50 bushfires continue to burn across Australia… https://t.co/pHmUaAFSkC",China Xinhua News,,,1197338742664704001,140,2019-11-21 02:19:36,28,10
"A massive fire broke out in a market at Tikatuli, a residential neighborhood of the old part of Bangladesh capital… https://t.co/6OiPmtDtv8",China Xinhua News,,,1197338665229389824,139,2019-11-21 02:19:17,12,4
Premier Li Keqiang demands unrelenting efforts to advance pilot centralized medicine procurement and use program to… https://t.co/ljAYpFB006,China Xinhua News,,,1197330423954788352,140,2019-11-21 01:46:33,13,3
Training on a whole new level! Check out how China's Armed Police are put through their paces in north China's Tian… https://t.co/4k3YLoflLv,China Xinhua News,,,1197311786078392321,140,2019-11-21 00:32:29,93,27
"UNICEF envoy Wang Yuan, also a Chinese teen idol, appeals for universal quality education for children… https://t.co/5FIBHFbIYY",China Xinhua News,,,1197302984935428096,127,2019-11-20 23:57:31,75,36
"U.S. government starts to issue licenses to some U.S. suppliers, allowing them to resume shipping to China's… https://t.co/4IQcz1ua82",China Xinhua News,,,1197293352414273536,133,2019-11-20 23:19:14,41,9
What's in the stomach of a fossilized lizard after 100 mln years? https://t.co/CQ9hCweN1b https://t.co/INA3q46J9O,China Xinhua News,,,1197288595972861953,113,2019-11-20 23:00:20,41,15
"Medellin, Colombia’s second largest city, is going electric with the first fleet of 64 electric buses from Chinese… https://t.co/VeorhZE8G5",China Xinhua News,,,1197255795597021185,139,2019-11-20 20:50:00,207,79
"Chinese-funded automaker Karma Automotive launches 2 new electric vehicles in #LosAngeles.  
Karma expects to have… https://t.co/tNve0zKJkd",China Xinhua News,,,1197253339991412737,139,2019-11-20 20:40:14,42,9
"Withdrawal of Kurdish fighters in northern Syria from Turkey's border has been essentially completed, Russian FM La… https://t.co/AOzzO3y0X1",China Xinhua News,,,1197252637432930310,140,2019-11-20 20:37:27,17,9
Could free testing end AIDS? Those with the free testing kit tested themselves more than those who did not have the… https://t.co/VXNfWbcUnd,China Xinhua News,,,1197247935232262157,140,2019-11-20 20:18:46,53,17
Russia says concerned about Israel's recent intensified missile and bomb attacks against Syria… https://t.co/UNzzpOlsyg,China Xinhua News,,,1197245941063008256,119,2019-11-20 20:10:50,28,16
"After week-long farewell celebration, beloved U.S.-born #giantpanda Bei Bei begins his journey to China, amid both… https://t.co/wOHRyh0PJj",China Xinhua News,,,1197244724354146304,139,2019-11-20 20:06:00,38,8
"Chinese economy works much more efficiently than many other large economies in the world, Putin says… https://t.co/7PxYEXOLVb",China Xinhua News,,,1197236982096809984,125,2019-11-20 19:35:14,41,18
"Happy 500th birthday, Havana! 
The iconic Malecon was lit up by more than 16,000 fireworks launched from Morro Cast… https://t.co/DrT8Vl1xwD",China Xinhua News,,,1197236921237458947,140,2019-11-20 19:35:00,84,28
"Ongoing Dubai airshow has witnessed completion of massive orders on aircraft, as well as display of most advanced a… https://t.co/qbIXf7xYWW",China Xinhua News,,,1197224431103434753,140,2019-11-20 18:45:22,27,8
Traditional Chinese dragon dance marks opening of Havana's Chinatown plaza in Cuba https://t.co/l9dTG2rrsB https://t.co/PwUGo52JWv,China Xinhua News,,,1197216745540456448,130,2019-11-20 18:14:50,23,8
Chile takes measures to help small &amp; medium-sized businesses in export sector affected by recent political unrest… https://t.co/wVMs5odXbj,China Xinhua News,,,1197215663456215043,142,2019-11-20 18:10:32,13,7
"Chinese, #California businesses discuss trade opportunities.
""Although California can't set its own trade policy, i… https://t.co/0G2krHlGz5",China Xinhua News,,,1197214792769056772,140,2019-11-20 18:07:04,14,9
Commissioner of Chinese Foreign Ministry to Hong Kong Xie Feng summons  U.S. consul-general to lodge stern represen… https://t.co/N7fBgFtEuo,China Xinhua News,,,1197209464878837761,140,2019-11-20 17:45:54,21,8
