tweets,user,corordinate,place,id,len,date,likes,retweets
"Prince Andrew stepping back from royal duties for ""foreseeable future"" following Epstein scandal https://t.co/7oIsoJX30z",BBC Breaking News,,,1197212822821883904,120,2019-11-20 17:59:14,5081,1786
RT @BBCSport: Tottenham have sacked head coach Mauricio Pochettino after five years at the club https://t.co/86EYIkbu05 https://t.co/855raw…,BBC Breaking News,,,1196877306175918080,140,2019-11-19 19:46:01,0,1214
Two prison guards tasked with watching Jeffrey Epstein on night he killed himself charged with falsifying records https://t.co/vpK11elnnq,BBC Breaking News,,,1196827707989991426,137,2019-11-19 16:28:56,5445,2159
"Swedish prosecutors drop rape inquiry into Wikileaks founder Julian Assange, who is currently in custody in the UK https://t.co/vVXntLZSBE",BBC Breaking News,,,1196778017001033731,138,2019-11-19 13:11:28,1752,1047
Chip shop owner accused of killing wife by throwing boiling oil over her is cleared of her murder and manslaughter https://t.co/wuOPA2z739,BBC Breaking News,,,1196746605304713217,138,2019-11-19 11:06:39,352,130
"Two hostages - an American and Australian - freed in swap for three senior Taliban prisoners, Taliban sources say https://t.co/zxEHlxZymo",BBC Breaking News,,,1196733811570204673,137,2019-11-19 10:15:49,641,285
"US shifts position on Israel's Jewish settlements, no longer viewing them as inconsistent with international law https://t.co/iWkmBoVVa8",BBC Breaking News,,,1196512319523708929,136,2019-11-18 19:35:41,1174,751
"RT @BBCSport: Premiership champions Saracens will not contest their sanctions for breaching the league's salary cap.

More: https://t.co/k8…",BBC Breaking News,,,1196400661077749760,140,2019-11-18 12:12:00,0,54
RT @BBCNews: Prince Andrew 'categorically' denies sex claims https://t.co/y6ObKHCIz2,BBC Breaking News,,,1195824185567830016,84,2019-11-16 22:01:17,0,151
"Prince Andrew tells BBC he ""let the side down"" by staying at home of convicted US sex offender Jeffrey Epstein https://t.co/604wxclZAf",BBC Breaking News,,,1195461788676042752,134,2019-11-15 22:01:15,1093,436
"Roger Stone, former adviser to President Donald Trump, convicted on charges stemming from Russia inquiry https://t.co/h55RunlUiS",BBC Breaking News,,,1195385282117427202,128,2019-11-15 16:57:15,2795,830
"Two Russians jailed for spying are pardoned and freed in Lithuania, in exchange for two Lithuanians and a Norwegian https://t.co/IbjvzSuXO7",BBC Breaking News,,,1195330454007746561,139,2019-11-15 13:19:23,434,169
Labour promises free broadband for all by part-nationalising BT and paid for by tech firm taxes if it wins UK elect… https://t.co/G9JC2ZK15b,BBC Breaking News,,,1195099594859991040,140,2019-11-14 22:02:01,3041,830
"Two students have been killed and three others injured by 16-year-old who opened fire at school in California, offi… https://t.co/OsSuTnZUhm",BBC Breaking News,,,1195076836729987072,140,2019-11-14 20:31:35,1015,674
"RT @BBCSport: Arsene Wenger is returning to football.

The former Arsenal manager has been appointed by Fifa.

In full: https://t.co/ommWFH…",BBC Breaking News,,,1194638935311421446,140,2019-11-13 15:31:32,0,471
Royal Mail wins court action to block planned postal strikes in run-up to Christmas https://t.co/To3B6lJ8nv,BBC Breaking News,,,1194627641090949120,107,2019-11-13 14:46:39,706,201
Former Bolivian President Evo Morales arrives in Mexico saying he asked for asylum because his life was in danger https://t.co/FX7FXvss8E,BBC Breaking News,,,1194310122887139332,137,2019-11-12 17:44:57,686,298
"Labour Party says it has experienced ""sophisticated and large scale cyber attack"" on its digital platforms https://t.co/Ilmz4L93Hl",BBC Breaking News,,,1194196575758823425,130,2019-11-12 10:13:45,1927,1208
"Former US President Jimmy Carter, 95, admitted to hospital in Atlanta for procedure to relieve brain pressure https://t.co/zrTKINFam3",BBC Breaking News,,,1194082889056567296,133,2019-11-12 02:42:00,773,310
"Bolivia's ex-president, Evo Morales, leaves for Mexico after taking up an offer of asylum as unrest continues https://t.co/T979MQzdSq",BBC Breaking News,,,1194078561675730945,133,2019-11-12 02:24:48,371,188
tweets,user,corordinate,place,id,len,date,likes,retweets
"Prince Andrew stepping back from royal duties for ""foreseeable future"" following Epstein scandal https://t.co/7oIsoJX30z",BBC Breaking News,,,1197212822821883904,120,2019-11-20 17:59:14,5090,1790
RT @BBCSport: Tottenham have sacked head coach Mauricio Pochettino after five years at the club https://t.co/86EYIkbu05 https://t.co/855raw…,BBC Breaking News,,,1196877306175918080,140,2019-11-19 19:46:01,0,1214
Two prison guards tasked with watching Jeffrey Epstein on night he killed himself charged with falsifying records https://t.co/vpK11elnnq,BBC Breaking News,,,1196827707989991426,137,2019-11-19 16:28:56,5445,2159
"Swedish prosecutors drop rape inquiry into Wikileaks founder Julian Assange, who is currently in custody in the UK https://t.co/vVXntLZSBE",BBC Breaking News,,,1196778017001033731,138,2019-11-19 13:11:28,1752,1047
Chip shop owner accused of killing wife by throwing boiling oil over her is cleared of her murder and manslaughter https://t.co/wuOPA2z739,BBC Breaking News,,,1196746605304713217,138,2019-11-19 11:06:39,353,130
"Two hostages - an American and Australian - freed in swap for three senior Taliban prisoners, Taliban sources say https://t.co/zxEHlxZymo",BBC Breaking News,,,1196733811570204673,137,2019-11-19 10:15:49,641,285
"US shifts position on Israel's Jewish settlements, no longer viewing them as inconsistent with international law https://t.co/iWkmBoVVa8",BBC Breaking News,,,1196512319523708929,136,2019-11-18 19:35:41,1174,751
"RT @BBCSport: Premiership champions Saracens will not contest their sanctions for breaching the league's salary cap.

More: https://t.co/k8…",BBC Breaking News,,,1196400661077749760,140,2019-11-18 12:12:00,0,54
RT @BBCNews: Prince Andrew 'categorically' denies sex claims https://t.co/y6ObKHCIz2,BBC Breaking News,,,1195824185567830016,84,2019-11-16 22:01:17,0,151
"Prince Andrew tells BBC he ""let the side down"" by staying at home of convicted US sex offender Jeffrey Epstein https://t.co/604wxclZAf",BBC Breaking News,,,1195461788676042752,134,2019-11-15 22:01:15,1093,436
"Roger Stone, former adviser to President Donald Trump, convicted on charges stemming from Russia inquiry https://t.co/h55RunlUiS",BBC Breaking News,,,1195385282117427202,128,2019-11-15 16:57:15,2795,830
"Two Russians jailed for spying are pardoned and freed in Lithuania, in exchange for two Lithuanians and a Norwegian https://t.co/IbjvzSuXO7",BBC Breaking News,,,1195330454007746561,139,2019-11-15 13:19:23,434,169
Labour promises free broadband for all by part-nationalising BT and paid for by tech firm taxes if it wins UK elect… https://t.co/G9JC2ZK15b,BBC Breaking News,,,1195099594859991040,140,2019-11-14 22:02:01,3041,830
