tweets,user,corordinate,place,id,len,date,likes,retweets
"RT @jackturmanIII: .@CoryBooker said he agrees with Buttigieg that ""mayoral experience is very important."" He added, ""I also happen to be t…",CBS News,,,1197349096769634304,140,2019-11-21 03:00:44,0,10
"RT @Bidar411: .@amyklobuchar says women are held to a higher standard:

""Otherwise we could play a game called name your favorite woman pre…",CBS News,,,1197349079623356417,140,2019-11-21 03:00:40,0,4
SpaceX Starship prototype blows its top during test at Texas launch site https://t.co/prheVDSkUv https://t.co/BqZJFyy4xR,CBS News,,,1197348911842762752,120,2019-11-21 03:00:00,1,0
"Klobuchar at the #DemDebate: Women candidates ""have to work harder, and that's a fact"" https://t.co/p0aDqFLShZ https://t.co/54PENlXc2u",CBS News,,,1197348906163724291,134,2019-11-21 02:59:59,12,6
".@caitlinconant says New Hampshire voters told @NicoleSganga
 that they have ""health care fatigue"" and if it was th… https://t.co/HPMsfsI1OL",CBS News,,,1197346494107570176,140,2019-11-21 02:50:24,19,5
Tulsi Gabbard addresses criticism of Hillary Clinton at #DemDebate https://t.co/VANBfwHW4X https://t.co/sxMibZJ2xV,CBS News,,,1197346488810168324,114,2019-11-21 02:50:23,13,7
"Klobuchar: ""I raised $17,000 from ex-boyfriends"" #DemDebate https://t.co/qFiRqYN3l5 https://t.co/rWbVBGSJii",CBS News,,,1197346402411720705,107,2019-11-21 02:50:02,60,12
"After a teen with autism missed a ride on the ""Polar Express,"" the conductor visited him for a magical experience… https://t.co/JpJKtKfFNo",CBS News,,,1197343848747413506,138,2019-11-21 02:39:53,137,17
"Warren pressed on ""Medicare for All"" plan, which Biden suggests is unrealistic #DemDebate https://t.co/7pMDIkRnyS https://t.co/I9JuMfRFe7",CBS News,,,1197342635507232768,137,2019-11-21 02:35:04,18,5
"Warren says her wealth tax is ""not about punishing anyone"" at the #DemDebate https://t.co/Et1j1Tb1lJ https://t.co/Ils2qKu0iZ",CBS News,,,1197341934349684736,124,2019-11-21 02:32:17,22,3
Biden asked how he'd work with Republicans who want him and his family investigated #DemDebate… https://t.co/vpczCnfNo7,CBS News,,,1197339182475165697,119,2019-11-21 02:21:21,18,8
7 key moments from Gordon Sondland's hearing in the impeachment inquiry https://t.co/6tUuTu4Yf7 https://t.co/e0A72u15is,CBS News,,,1197338783995383808,119,2019-11-21 02:19:46,13,7
Candidates address first open impeachment hearings at the #DemDebate https://t.co/x8Xa0BFUSo https://t.co/jLulnWCycS,CBS News,,,1197338453450645504,116,2019-11-21 02:18:27,8,1
