tweets,user,corordinate,place,id,len,date,likes,retweets
Democrats debate less than 11 weeks before the Iowa caucuses and in the shadow of televised impeachment hearings in… https://t.co/um7Mw4g8Dv,CNN Breaking News,,,1197333979936034817,140,2019-11-21 02:00:40,100,29
At least 16 civilians were killed in a rocket attack on a camp housing internally displaced people in Syria's Idlib… https://t.co/mE8JGqqGKa,CNN Breaking News,,,1197305619147108352,140,2019-11-21 00:07:59,171,131
PayPal is acquiring shopping reward site Honey for $4 billion https://t.co/LJUCeR00uC https://t.co/HB6qSXrDRs,CNN Breaking News,,,1197303571370463232,109,2019-11-20 23:59:50,165,51
"RT @CNNPolitics: Pentagon official reveals Ukrainians asked about stalled aid as early as July, undercutting a key Republican rebuttal http…",CNN Breaking News,,,1197298261750665216,140,2019-11-20 23:38:44,0,300
"RT @CNNBusiness: The United Auto Workers union's executive board took the first step to remove its president, who has been on leave amid th…",CNN Breaking News,,,1197293096825962496,140,2019-11-20 23:18:13,0,26
"Today's second impeachment hearing gets underway after stunning testimony that ties Trump, Pence and Pompeo to Ukra… https://t.co/W1HaH6i121",CNN Breaking News,,,1197284510724964352,140,2019-11-20 22:44:06,514,128
"A 10-year-old boy injured during a shooting at a New Jersey high school football game last week has died, prosecuto… https://t.co/myScpJMCFn",CNN Breaking News,,,1197265731932569600,140,2019-11-20 21:29:29,295,245
The House Intelligence Committee's hearing with Ambassador Gordon Sondland just wrapped up. The committee has a sec… https://t.co/F8aQLn4e6T,CNN Breaking News,,,1197257785785933824,140,2019-11-20 20:57:54,227,60
"Britain's Prince Andrew says he'll ""step back"" from royal duties after coming under fire for his association with J… https://t.co/AaOyG1qQX9",CNN Breaking News,,,1197218342177783810,140,2019-11-20 18:21:10,615,148
"President Trump, speaking to reporters today before leaving for Texas, read off a statement that appeared to be wri… https://t.co/SwVvQ8zIXR",CNN Breaking News,,,1197207116127383553,140,2019-11-20 17:36:34,3783,1185
"RT @CNNPolitics: House Intelligence Chairman Adam Schiff: ""Today's testimony is among the most significant evidence to date. ... We also ha…",CNN Breaking News,,,1197192778461204487,140,2019-11-20 16:39:35,0,434
The nominations for the 62nd Annual Grammy Awards have been announced https://t.co/uypM0UiPDo https://t.co/8COxibs0nT,CNN Breaking News,,,1197166751559147520,117,2019-11-20 14:56:10,236,64
"Catherine Pugh, the former mayor of Baltimore who resigned in May amid a book deal scandal, was indicted on charges… https://t.co/YlRSCZgrJY",CNN Breaking News,,,1197165260635082754,140,2019-11-20 14:50:15,251,81
