tweets,user,corordinate,place,id,len,date,likes,retweets
"These bridges in India are sculpted from tree roots, and can stretch for up to 50 meters and last for hundreds of y… https://t.co/j2kXcxxYuu",CNN International,,,1197344910858444800,140,2019-11-21 02:44:06,111,29
"A federal jury has found a humanitarian aid worker not guilty of ""harboring illegal immigrants"" near the US-Mexico… https://t.co/Bn2fuVTpme",CNN International,,,1197342132127903744,139,2019-11-21 02:33:04,114,25
About 145 coffins believed to be part of a mid-20th century cemetery for the indigent were found buried under a Tam… https://t.co/QYLzGvegNp,CNN International,,,1197335742298632193,140,2019-11-21 02:07:41,38,14
Pentagon official Laura Cooper said a member of her staff recalled receiving an email on July 25 — the same day as… https://t.co/Dhnf1Z0QoU,CNN International,,,1197322163797331968,139,2019-11-21 01:13:43,83,31
"The world's tallest atrium just opened in China. At 636 feet with four skybridges, it rises between the building's… https://t.co/XVlMZIFuvB",CNN International,,,1197313717857398789,139,2019-11-21 00:40:10,142,46
"Researchers discovered 143 ancient sand carvings in Peru, and they could be more than 2,300 years old… https://t.co/G0tWVZp58u",CNN International,,,1197311218991738882,126,2019-11-21 00:30:14,147,57
"""All of America's formal and informal allies need to have contingency plans in place should they be abandoned by Tr… https://t.co/7qT78gv4GD",CNN International,,,1197308673531502592,140,2019-11-21 00:20:07,73,21
Myanmar's civilian leader Aung San Suu Kyi will personally defend her government from allegations of genocide again… https://t.co/21l8iTXbgS,CNN International,,,1197306151588843520,140,2019-11-21 00:10:06,32,24
"The American automotive industry has been the target of malicious cyber actors since at least late 2018, according… https://t.co/VysHPJoM4f",CNN International,,,1197303627276312576,139,2019-11-21 00:00:04,15,13
US Ambassador to the European Union Gordon Sondland changed the course of the House impeachment inquiry into Presid… https://t.co/7mlwS0V32t,CNN International,,,1197298610720915458,140,2019-11-20 23:40:08,73,47
A Massachusetts teacher and her family are raising a former student with Down syndrome after his mom died from brea… https://t.co/C9inFKdJ8g,CNN International,,,1197296109640650752,140,2019-11-20 23:30:11,194,35
"Michelle Obama could soon add another award to her mantel: a Grammy.

The former US first lady was nominated for th… https://t.co/QXBNTL3otP",CNN International,,,1197291557113733120,140,2019-11-20 23:12:06,317,70
