tweets,user,corordinate,place,id,len,date,likes,retweets
Ever wondered where museums keep all those dinosaur bones? https://t.co/wuNq5hGi7L,Mashable,,,1197345637408354304,82,2019-11-21 02:47:00,13,10
This speedboat/submarine is straight out of a James Bond movie https://t.co/qUQh6LLpax,Mashable,,,1197340604306464769,86,2019-11-21 02:27:00,21,13
This could be the bodysuit of the future https://t.co/EUhzM6QjYQ,Mashable,,,1197335571212857345,64,2019-11-21 02:07:00,22,6
This innovative tech lab is an inventor's dream space https://t.co/7aEq8zc63i,Mashable,,,1197330537918205953,77,2019-11-21 01:47:00,16,3
This drone is the best of both worlds https://t.co/iRxPgq0lG5,Mashable,,,1197325504765775872,61,2019-11-21 01:27:00,27,9
"Take that, Tesla!
https://t.co/zAY2U74eW8",Mashable,,,1197321991193350145,41,2019-11-21 01:13:02,32,15
And it's soft! https://t.co/QeC8M56vYY,Mashable,,,1197320471710011392,38,2019-11-21 01:07:00,35,16
Adobe's going all-in on AR https://t.co/ggi6CmPnd2,Mashable,,,1197315438419464192,50,2019-11-21 00:47:00,26,7
It actually kind of slaps. https://t.co/DUDzhbVYsx,Mashable,,,1197313656683450369,50,2019-11-21 00:39:55,23,3
These Barbies are ICONIC https://t.co/ObDaGbxJKV,Mashable,,,1197310405359456256,48,2019-11-21 00:27:00,88,25
The remote polar bear town rapidly losing its famous residents https://t.co/59dAuhWfE5 https://t.co/BqTpLDeHhE,Mashable,,,1197307704257241090,110,2019-11-21 00:16:16,23,11
BMW just painted a car with the blackest black known to man https://t.co/Q7uJQNZhiu,Mashable,,,1197305372148547585,83,2019-11-21 00:07:00,64,23
"Don't flush! Smart toilets could turn your pee into research gold
https://t.co/4rY2fManU4",Mashable,,,1197301373680967680,89,2019-11-20 23:51:06,10,5
This woman is cleaning up the streets by turning old chewing gum into new rubber objects https://t.co/AMBhEDDXwK,Mashable,,,1197300338983751680,112,2019-11-20 23:47:00,82,32
The notes are back!!!! https://t.co/716uJ3y2me https://t.co/ea1Qqrq0q6,Mashable,,,1197299743631785986,70,2019-11-20 23:44:38,20,8
These high-altitude balloons could send internet signal to Kenya's most remote areas https://t.co/gKTd7wd7mQ,Mashable,,,1197295305818923008,108,2019-11-20 23:27:00,15,10
Art. https://t.co/EssrJpXkNs,Mashable,,,1197292841615183873,28,2019-11-20 23:17:12,48,9
This floating park is made entirely out of plastic debris https://t.co/3UFZRp69Au,Mashable,,,1197290272780107776,81,2019-11-20 23:07:00,38,27
"'Castle Rock's shocking Season 2 twist meant lying to everyone for a really good reason
https://t.co/UfAhlkprLb",Mashable,,,1197286493385043968,111,2019-11-20 22:51:59,4,2
This startup is getting creative about recycling https://t.co/JMwFbtBKbN,Mashable,,,1197285239430627328,72,2019-11-20 22:47:00,19,12
tweets,user,corordinate,place,id,len,date,likes,retweets
"This robot will do the dirty work, literally https://t.co/ZTdviv8tMY",Mashable,,,1197350670589997056,68,2019-11-21 03:07:00,15,8
Ever wondered where museums keep all those dinosaur bones? https://t.co/wuNq5hGi7L,Mashable,,,1197345637408354304,82,2019-11-21 02:47:00,14,13
This speedboat/submarine is straight out of a James Bond movie https://t.co/qUQh6LLpax,Mashable,,,1197340604306464769,86,2019-11-21 02:27:00,24,14
This could be the bodysuit of the future https://t.co/EUhzM6QjYQ,Mashable,,,1197335571212857345,64,2019-11-21 02:07:00,24,7
This innovative tech lab is an inventor's dream space https://t.co/7aEq8zc63i,Mashable,,,1197330537918205953,77,2019-11-21 01:47:00,17,3
This drone is the best of both worlds https://t.co/iRxPgq0lG5,Mashable,,,1197325504765775872,61,2019-11-21 01:27:00,28,10
"Take that, Tesla!
https://t.co/zAY2U74eW8",Mashable,,,1197321991193350145,41,2019-11-21 01:13:02,32,15
And it's soft! https://t.co/QeC8M56vYY,Mashable,,,1197320471710011392,38,2019-11-21 01:07:00,35,16
Adobe's going all-in on AR https://t.co/ggi6CmPnd2,Mashable,,,1197315438419464192,50,2019-11-21 00:47:00,27,7
It actually kind of slaps. https://t.co/DUDzhbVYsx,Mashable,,,1197313656683450369,50,2019-11-21 00:39:55,23,3
These Barbies are ICONIC https://t.co/ObDaGbxJKV,Mashable,,,1197310405359456256,48,2019-11-21 00:27:00,88,25
The remote polar bear town rapidly losing its famous residents https://t.co/59dAuhWfE5 https://t.co/BqTpLDeHhE,Mashable,,,1197307704257241090,110,2019-11-21 00:16:16,23,11
BMW just painted a car with the blackest black known to man https://t.co/Q7uJQNZhiu,Mashable,,,1197305372148547585,83,2019-11-21 00:07:00,64,23
"Don't flush! Smart toilets could turn your pee into research gold
https://t.co/4rY2fManU4",Mashable,,,1197301373680967680,89,2019-11-20 23:51:06,10,5
This woman is cleaning up the streets by turning old chewing gum into new rubber objects https://t.co/AMBhEDDXwK,Mashable,,,1197300338983751680,112,2019-11-20 23:47:00,84,32
The notes are back!!!! https://t.co/716uJ3y2me https://t.co/ea1Qqrq0q6,Mashable,,,1197299743631785986,70,2019-11-20 23:44:38,20,8
These high-altitude balloons could send internet signal to Kenya's most remote areas https://t.co/gKTd7wd7mQ,Mashable,,,1197295305818923008,108,2019-11-20 23:27:00,15,10
Art. https://t.co/EssrJpXkNs,Mashable,,,1197292841615183873,28,2019-11-20 23:17:12,48,9
This floating park is made entirely out of plastic debris https://t.co/3UFZRp69Au,Mashable,,,1197290272780107776,81,2019-11-20 23:07:00,38,27
"'Castle Rock's shocking Season 2 twist meant lying to everyone for a really good reason
https://t.co/UfAhlkprLb",Mashable,,,1197286493385043968,111,2019-11-20 22:51:59,4,2
