tweets,user,corordinate,place,id,len,date,likes,retweets
A former artist-in-residence at Grand Canyon National Park shares tips for exploring the canyon and capturing the i… https://t.co/bKobZqluZi,National Geographic,,,1197320740950941696,140,2019-11-21 01:08:04,478,85
"Crows are so smart, they can even make tools https://t.co/kA4UdCXAsC",National Geographic,,,1197294550798290944,68,2019-11-20 23:24:00,1987,567
DNA preserved in Jean-Paul Marat’s blood-spattered newspapers may reveal the disease that afflicted the pro-Revolut… https://t.co/rJJZCFoLyD,National Geographic,,,1197278209324277760,140,2019-11-20 22:19:04,309,79
This creative—and scientific—competition showcases the beauty and diversity of microbes https://t.co/cw1R9eTmuA,National Geographic,,,1197259424508891137,111,2019-11-20 21:04:25,291,59
"From the devastation of Hurricane Maria, the tiny country forged a new goal: to become the world’s first climate-re… https://t.co/uUbWxLvZVQ",National Geographic,,,1197244236082634753,140,2019-11-20 20:04:04,321,82
A brown bear searches for salmon in Russia's Kamchatka Peninsula. This awe-inspiring wilderness is teeming with vol… https://t.co/olXJoPFRiP,National Geographic,,,1197231156292399104,140,2019-11-20 19:12:05,563,90
"No one, including government officials, knows exactly how many there are, and there is no overarching federal law r… https://t.co/qgt1RciDOn",National Geographic,,,1197200217117990912,140,2019-11-20 17:09:09,1005,293
The perpetrators hoped to erase proof of their illegal voyage by setting the Clotilda on fire—but the ship could no… https://t.co/ospOxXu0pO,National Geographic,,,1197190964097536000,140,2019-11-20 16:32:23,383,77
"RT @DisneyStudios: Based on the legendary adventure, witness the cinematic experience of a lifetime. #CalloftheWild is in theaters February…",National Geographic,,,1197179501249269763,140,2019-11-20 15:46:50,0,1547
"“Women often see things… a man would not notice,” said National Geographic’s first editor https://t.co/lcSUqTmZE8",National Geographic,,,1197156416064303104,113,2019-11-20 14:15:06,614,129
"Blooming botanic gardens, coastal penguin colonies, and more—here's your guide to the outdoors in South Africa https://t.co/EiSoWceKKf",National Geographic,,,1197141811501944833,134,2019-11-20 13:17:04,673,80
"Starfish cling to rocks as the tide comes in off the coast of Greymouth, New Zealand in this dynamic scene captured… https://t.co/YetTuUQPtO",National Geographic,,,1197111108538163200,140,2019-11-20 11:15:04,1973,351
Sea turtles are one of a small number of species alive today that once roamed with dinosaurs https://t.co/aT2KoWYuEG,National Geographic,,,1197069597440139264,116,2019-11-20 08:30:07,2157,488
Only a limited number of travelers are allowed to visit these caves each year—and getting there can test even the f… https://t.co/EcSQcExs77,National Geographic,,,1197018000781692928,140,2019-11-20 05:05:05,961,191
"The dragon mantis is so good at hiding, no one knows its population size https://t.co/ouhAkY4kYy",National Geographic,,,1196990203006726145,96,2019-11-20 03:14:38,1439,312
"From the devastation of Hurricane Maria, the tiny country forged a new goal: to become the world’s first climate-re… https://t.co/d57ItqxZ9b",National Geographic,,,1196957427545051138,140,2019-11-20 01:04:23,564,128
#CougarOrNot? Scientists take to Twitter to correct misperceptions when people mistakenly believe they see dangerou… https://t.co/f1N0iUtiNA,National Geographic,,,1196929158011670528,140,2019-11-19 23:12:03,658,115
A fireball from outer space crashed into one of Earth’s biggest lakes. An actor and a bunch of teenagers are on the… https://t.co/2bMZBxa0GA,National Geographic,,,1196914895339569154,140,2019-11-19 22:15:23,251,49
"All of these places were filming locations for movies! #TriviaTuesday
Field of Dreams
Wonder Woman
Mad Max: Fury Ro… https://t.co/B9JVSqH2ZQ",National Geographic,,,1196903635705303040,140,2019-11-19 21:30:38,133,17
"It's #TriviaTuesday time: What do all these cities have in common? 
Dyersville, Iowa
Ravello, Italy
Swakopmund, Nam… https://t.co/t59d6FbQms",National Geographic,,,1196882966712115205,140,2019-11-19 20:08:30,272,43
tweets,user,corordinate,place,id,len,date,likes,retweets
"Dogs' eyebrow anatomy is the latest example of how 20,000 years of cohabitation has made our pets finely tuned inte… https://t.co/9qekcZt3co",National Geographic,,,1197350688445140994,140,2019-11-21 03:07:04,205,57
A former artist-in-residence at Grand Canyon National Park shares tips for exploring the canyon and capturing the i… https://t.co/bKobZqluZi,National Geographic,,,1197320740950941696,140,2019-11-21 01:08:04,492,87
"Crows are so smart, they can even make tools https://t.co/kA4UdCXAsC",National Geographic,,,1197294550798290944,68,2019-11-20 23:24:00,2037,582
DNA preserved in Jean-Paul Marat’s blood-spattered newspapers may reveal the disease that afflicted the pro-Revolut… https://t.co/rJJZCFoLyD,National Geographic,,,1197278209324277760,140,2019-11-20 22:19:04,310,81
This creative—and scientific—competition showcases the beauty and diversity of microbes https://t.co/cw1R9eTmuA,National Geographic,,,1197259424508891137,111,2019-11-20 21:04:25,291,59
"From the devastation of Hurricane Maria, the tiny country forged a new goal: to become the world’s first climate-re… https://t.co/uUbWxLvZVQ",National Geographic,,,1197244236082634753,140,2019-11-20 20:04:04,324,82
A brown bear searches for salmon in Russia's Kamchatka Peninsula. This awe-inspiring wilderness is teeming with vol… https://t.co/olXJoPFRiP,National Geographic,,,1197231156292399104,140,2019-11-20 19:12:05,563,91
"No one, including government officials, knows exactly how many there are, and there is no overarching federal law r… https://t.co/qgt1RciDOn",National Geographic,,,1197200217117990912,140,2019-11-20 17:09:09,1009,294
The perpetrators hoped to erase proof of their illegal voyage by setting the Clotilda on fire—but the ship could no… https://t.co/ospOxXu0pO,National Geographic,,,1197190964097536000,140,2019-11-20 16:32:23,383,78
"RT @DisneyStudios: Based on the legendary adventure, witness the cinematic experience of a lifetime. #CalloftheWild is in theaters February…",National Geographic,,,1197179501249269763,140,2019-11-20 15:46:50,0,1555
"“Women often see things… a man would not notice,” said National Geographic’s first editor https://t.co/lcSUqTmZE8",National Geographic,,,1197156416064303104,113,2019-11-20 14:15:06,615,129
"Blooming botanic gardens, coastal penguin colonies, and more—here's your guide to the outdoors in South Africa https://t.co/EiSoWceKKf",National Geographic,,,1197141811501944833,134,2019-11-20 13:17:04,675,80
"Starfish cling to rocks as the tide comes in off the coast of Greymouth, New Zealand in this dynamic scene captured… https://t.co/YetTuUQPtO",National Geographic,,,1197111108538163200,140,2019-11-20 11:15:04,1980,353
Sea turtles are one of a small number of species alive today that once roamed with dinosaurs https://t.co/aT2KoWYuEG,National Geographic,,,1197069597440139264,116,2019-11-20 08:30:07,2163,488
Only a limited number of travelers are allowed to visit these caves each year—and getting there can test even the f… https://t.co/EcSQcExs77,National Geographic,,,1197018000781692928,140,2019-11-20 05:05:05,962,191
"The dragon mantis is so good at hiding, no one knows its population size https://t.co/ouhAkY4kYy",National Geographic,,,1196990203006726145,96,2019-11-20 03:14:38,1441,312
"From the devastation of Hurricane Maria, the tiny country forged a new goal: to become the world’s first climate-re… https://t.co/d57ItqxZ9b",National Geographic,,,1196957427545051138,140,2019-11-20 01:04:23,564,128
#CougarOrNot? Scientists take to Twitter to correct misperceptions when people mistakenly believe they see dangerou… https://t.co/f1N0iUtiNA,National Geographic,,,1196929158011670528,140,2019-11-19 23:12:03,658,115
