tweets,user,corordinate,place,id,len,date,likes,retweets
Recent activity by prosecutors and FBI agents shows that they have cast a wide net as they collect evidence about L… https://t.co/SS0EiZhz6B,The New York Times,,,1197348939168714752,140,2019-11-21 03:00:07,19,8
"RT @andrewlavallee: Susan Choi won the National Book Award for fiction on Wednesday for her novel ""Trust Exercise,"" while Sarah M. Broom wo…",The New York Times,,,1197346653100859392,140,2019-11-21 02:51:02,0,6
"45 minutes into tonight's #DemDebate, Elizabeth Warren has spoken the most of any candidate, followed by Joe Biden,… https://t.co/QgrvWZjsaM",The New York Times,,,1197345431094747143,140,2019-11-21 02:46:11,135,57
"Watch tonight's Democratic debate with real-time analysis and commentary from @maggieNYT, @AsteadWesley, @llerer,… https://t.co/IGgCWlQVvT",The New York Times,,,1197343887590862850,138,2019-11-21 02:40:03,20,3
"Here are the key moments from the testimonies of Gordon Sondland, Laura Cooper and David Hale in Wednesday’s impeac… https://t.co/nWeerRXtUE",The New York Times,,,1197342640821460994,140,2019-11-21 02:35:05,55,16
"""Bernie Sanders has got to be fuming that Warren gets the first question about health care,"" @melbournecoal says.… https://t.co/4RaiuK1uWf",The New York Times,,,1197340770333839360,138,2019-11-21 02:27:39,102,18
"20 minutes into the #DemDebate and Elizabeth Warren has spoken for almost twice as long as any other candidate.

Fo… https://t.co/UDqWA0fFlC",The New York Times,,,1197339019438366720,140,2019-11-21 02:20:42,263,97
"The first question of the #demdebate is on the impeachment inquiry of President Trump, and @AsteadWesley says how E… https://t.co/lIe3ePuVZf",The New York Times,,,1197337640737103872,140,2019-11-21 02:15:13,68,19
"With 10 candidates sharing the stage at tonight’s #DemDebate, who will get the most speaking time? Follow along in… https://t.co/epBCWAwk78",The New York Times,,,1197335167200845825,139,2019-11-21 02:05:23,70,31
"Our journalists are analyzing tonight’s Democratic debate in real-time. Join @MaggieNYT, @AsteadWesley, @llerer,… https://t.co/OMCMYewW2k",The New York Times,,,1197334335742984192,137,2019-11-21 02:02:05,52,22
"It's almost time for tonight's #DemDebate, and we'll be covering it live. 

💡Here's your guide to the action:… https://t.co/coCP5PNojo",The New York Times,,,1197332576026988547,134,2019-11-21 01:55:06,77,20
“Everyone was in the loop.” Listen to highlights from Gordon Sondland’s testimony at this morning’s public hearing… https://t.co/zoES58aqfV,The New York Times,,,1197331317882544128,139,2019-11-21 01:50:06,175,62
"The lack of local news in the U.S. has frayed communities and left many Americans woefully uninformed, a new report… https://t.co/7pzd1WFGxG",The New York Times,,,1197330059843055621,140,2019-11-21 01:45:06,496,260
10 Democratic presidential candidates are set to take the debate stage tonight in Atlanta. Here's everything you ne… https://t.co/9b5OsA6wze,The New York Times,,,1197327538319745025,140,2019-11-21 01:35:05,59,20
"Hundreds of New York State prisoners were locked in cells, denied release or removed from programs when tests erron… https://t.co/o3VtJOXCYU",The New York Times,,,1197325021489881088,140,2019-11-21 01:25:05,128,76
