tweets,user,corordinate,place,id,len,date,likes,retweets
Biden Complains Moderators Keep Giving Him Ample Time To Speak https://t.co/EWBaSgEL6l https://t.co/iheZzGFjAW,The Onion,,,1197345056342126592,110,2019-11-21 02:44:41,2047,392
"""It would have been nice if someone from the Buttigieg team had reached out to me before they plastered my face all… https://t.co/T3HGxORlZZ",The Onion,,,1197334818285084672,140,2019-11-21 02:04:00,472,39
Two Charged In Epstein Death https://t.co/nV7giVelVr #WhatDoYouThink? https://t.co/UiG1erJuv1,The Onion,,,1197324271489605633,93,2019-11-21 01:22:06,445,56
"RT @TheOnion: ‘I Yield The Remainder Of My Time To You, The Viewer At Home,’ Says Adam Schiff During Impeachment Hearing Before Staring Int…",The Onion,,,1197313678124736518,140,2019-11-21 00:40:00,0,421
Friendly Cashier Persona Briefly Dropped To Address Trainee https://t.co/Ca0aLd1yPb https://t.co/R3rgv3XSIz,The Onion,,,1197303136022618112,107,2019-11-20 23:58:07,1384,116
'How Bad For The Environment Can Throwing Away One Plastic Bottle Be?' 30 Million People Wonder… https://t.co/J6BmhUq0TB,The Onion,,,1197292553114148864,120,2019-11-20 23:16:03,4070,774
"‘Hey, Are You Gonna Let Me Talk?’ Shouts Rudy Giuliani Debating Fox News Recap Of Sondland Testimony… https://t.co/QMlmhEgkNO",The Onion,,,1197282215513743362,125,2019-11-20 22:34:59,711,82
Awesome Tie-In: Thousands Of Dock Workers Across America Have Been Driving Forklifts As An Apparent Shadow Promotio… https://t.co/4skme5PkKx,The Onion,,,1197273942702088193,140,2019-11-20 22:02:06,416,74
"""Honestly, nobody—and I mean nobody—ever gives me so much as a second glance here."" https://t.co/N84K3moGjy https://t.co/kXbIg9msyV",The Onion,,,1197263663289290758,131,2019-11-20 21:21:16,624,47
Robust UTI Culture The Closest Woman Going To Get To Bringing Life Into World https://t.co/mjAeNa0nMv https://t.co/IKu2qwUzF7,The Onion,,,1197253295837995008,125,2019-11-20 20:40:04,572,49
