tweets,user,corordinate,place,id,len,date,likes,retweets
Here's how many times the candidates have been attacked by the rest of the field. https://t.co/7QmDQ6gEYl,The Washington Post,,,1197348533021609985,105,2019-11-21 02:58:30,21,6
We've reached halftime. Here's how much each candidate has spoken so far. https://t.co/p4vPOgiMlL https://t.co/PaUuu8Yp90,The Washington Post,,,1197348130288754688,121,2019-11-21 02:56:54,62,33
Fact Checker: Buttigieg’s claim on Trump and veterans https://t.co/jsxm0Dlw0o,The Washington Post,,,1197347142848962560,77,2019-11-21 02:52:59,11,6
"Cory Booker on if he would use a style of unfiltered communication as president: ""Absolutely in that office I will… https://t.co/4IBImlwMNP",The Washington Post,,,1197346930722050049,139,2019-11-21 02:52:08,54,16
"Klobuchar: “Women are held to a higher standard, otherwise we could play a game called name your favorite woman pre… https://t.co/lLUsZ5hab3",The Washington Post,,,1197346611917205504,140,2019-11-21 02:50:52,239,54
How many week of paid family leave do the candidates support? https://t.co/13KpUvQ3I1 https://t.co/deO5F5x0t7,The Washington Post,,,1197345664897818626,109,2019-11-21 02:47:06,33,20
"🏌️  🙅‍♂️

https://t.co/lz90491d93 https://t.co/3sLN2rsqF3",The Washington Post,,,1197344960204492800,57,2019-11-21 02:44:18,344,41
Debate: Divides over approach to health care https://t.co/30BJv1jQY8,The Washington Post,,,1197344659036688384,68,2019-11-21 02:43:06,14,3
"Booker, Warren argue over wealth tax https://t.co/sSZKFA7amq",The Washington Post,,,1197344077953617920,60,2019-11-21 02:40:48,26,1
"RT @amybwang: Amy Klobuchar: ""Women are held to a different standard… otherwise we could play a game called 'Name Your Favorite Woman Presi…",The Washington Post,,,1197343726458327040,140,2019-11-21 02:39:24,0,36
#DemDebate updates here ➡️ https://t.co/tpc6hGYqUF https://t.co/CPnJq9qTO6,The Washington Post,,,1197343622175379456,74,2019-11-21 02:38:59,363,55
"After Kamala Harris attacks Tulsi Gabbard's record, Gabbard says Harris is ""continuing to traffic in lies and smear… https://t.co/tlNbPVzAOf",The Washington Post,,,1197343311842988032,140,2019-11-21 02:37:45,178,38
"RT @PostGraphics: @NBCNewsGraphics An early look at attacks among the candidates, including the back-and-forth between Harris and Gabbard h…",The Washington Post,,,1197342779615170560,140,2019-11-21 02:35:38,0,7
Debate: Warren talks impeachment and ambassadors https://t.co/mULi0Cwl5O,The Washington Post,,,1197341862375362560,72,2019-11-21 02:32:00,35,6
Fact Checker: Sanders’s statement on homelessness https://t.co/6IuVPmguQX,The Washington Post,,,1197341409596125184,73,2019-11-21 02:30:12,12,4
"Gabbard criticizes the Democratic Party's approach to foreign policy. 
We asked the candidates about their stances https://t.co/pH2ijmgHds",The Washington Post,,,1197341123603247104,138,2019-11-21 02:29:04,30,13
"Live updates from tonight's #DemDebate 

https://t.co/NEHvIfl3XW https://t.co/1GJhPzO616",The Washington Post,,,1197340580734476288,88,2019-11-21 02:26:54,173,50
"After Sen. Elizabeth Warren spoke on her Medicare for All stance, moderator @kwelkernbc asked Sen. Bernie Sanders f… https://t.co/fRbMIi6EJy",The Washington Post,,,1197340478456451072,140,2019-11-21 02:26:30,168,39
"Rep. Jayapal (D-WA) introduced the Medicare for All Act of 2019 in the House earlier this year, here’s what she wro… https://t.co/wBdGBo9C0p",The Washington Post,,,1197340282494345219,140,2019-11-21 02:25:43,25,7
Sanders and Warren would essentially eliminate private insurance in favor of Medicare-for-All… https://t.co/QeFmPMJlqW,The Washington Post,,,1197339507265327106,118,2019-11-21 02:22:38,96,27
tweets,user,corordinate,place,id,len,date,likes,retweets
"Debate: Candidates talk about ""lock him up"" chant https://t.co/v968vrxW0U",The Washington Post,,,1197351923432787968,73,2019-11-21 03:11:58,0,0
Fact Checker: Yang on paid leave https://t.co/oGcGhNScmH,The Washington Post,,,1197350181534130178,56,2019-11-21 03:05:03,11,4
Debate: Calls for unity on a day of rancor https://t.co/C3mJcLuWM3,The Washington Post,,,1197349886112534529,66,2019-11-21 03:03:53,20,7
How will Democratic candidates approach trade with China? We asked if they were open to using tariffs https://t.co/m2ZB9b5JYJ,The Washington Post,,,1197349599138242561,125,2019-11-21 03:02:44,7,6
Here's how many times the candidates have been attacked by the rest of the field. https://t.co/7QmDQ6gEYl,The Washington Post,,,1197348533021609985,105,2019-11-21 02:58:30,46,13
We've reached halftime. Here's how much each candidate has spoken so far. https://t.co/p4vPOgiMlL https://t.co/PaUuu8Yp90,The Washington Post,,,1197348130288754688,121,2019-11-21 02:56:54,95,50
Fact Checker: Buttigieg’s claim on Trump and veterans https://t.co/jsxm0Dlw0o,The Washington Post,,,1197347142848962560,77,2019-11-21 02:52:59,12,6
"Cory Booker on if he would use a style of unfiltered communication as president: ""Absolutely in that office I will… https://t.co/4IBImlwMNP",The Washington Post,,,1197346930722050049,139,2019-11-21 02:52:08,80,22
"Klobuchar: “Women are held to a higher standard, otherwise we could play a game called name your favorite woman pre… https://t.co/lLUsZ5hab3",The Washington Post,,,1197346611917205504,140,2019-11-21 02:50:52,289,66
How many week of paid family leave do the candidates support? https://t.co/13KpUvQ3I1 https://t.co/deO5F5x0t7,The Washington Post,,,1197345664897818626,109,2019-11-21 02:47:06,45,27
"🏌️  🙅‍♂️

https://t.co/lz90491d93 https://t.co/3sLN2rsqF3",The Washington Post,,,1197344960204492800,57,2019-11-21 02:44:18,377,43
Debate: Divides over approach to health care https://t.co/30BJv1jQY8,The Washington Post,,,1197344659036688384,68,2019-11-21 02:43:06,14,3
"Booker, Warren argue over wealth tax https://t.co/sSZKFA7amq",The Washington Post,,,1197344077953617920,60,2019-11-21 02:40:48,30,1
"RT @amybwang: Amy Klobuchar: ""Women are held to a different standard… otherwise we could play a game called 'Name Your Favorite Woman Presi…",The Washington Post,,,1197343726458327040,140,2019-11-21 02:39:24,0,38
#DemDebate updates here ➡️ https://t.co/tpc6hGYqUF https://t.co/CPnJq9qTO6,The Washington Post,,,1197343622175379456,74,2019-11-21 02:38:59,373,57
"After Kamala Harris attacks Tulsi Gabbard's record, Gabbard says Harris is ""continuing to traffic in lies and smear… https://t.co/tlNbPVzAOf",The Washington Post,,,1197343311842988032,140,2019-11-21 02:37:45,189,38
"RT @PostGraphics: @NBCNewsGraphics An early look at attacks among the candidates, including the back-and-forth between Harris and Gabbard h…",The Washington Post,,,1197342779615170560,140,2019-11-21 02:35:38,0,8
Debate: Warren talks impeachment and ambassadors https://t.co/mULi0Cwl5O,The Washington Post,,,1197341862375362560,72,2019-11-21 02:32:00,36,7
Fact Checker: Sanders’s statement on homelessness https://t.co/6IuVPmguQX,The Washington Post,,,1197341409596125184,73,2019-11-21 02:30:12,13,4
"Gabbard criticizes the Democratic Party's approach to foreign policy. 
We asked the candidates about their stances https://t.co/pH2ijmgHds",The Washington Post,,,1197341123603247104,138,2019-11-21 02:29:04,31,14
